;Especie;Registros;GBIF;CBC;Reino;Filo;Clase;Orden;Familia;Género
1;Abramites eques;134;https://www.gbif.org/species/2355543;https://catalogo.biodiversidad.co/file/59d51ee05f369343442fb35d/summary;Animalia;Chordata;NA;Characiformes;Anostomidae;Abramites
2;Abuta racemosa;64;https://www.gbif.org/species/7349979;NA;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Menispermaceae;Abuta
3;Acalypha castroviejoi;18;https://www.gbif.org/species/3057255;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
4;Acalypha chocoana;11;https://www.gbif.org/species/3056235;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
5;Acalypha inaequilatera;7;https://www.gbif.org/species/3056555;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
6;Acalypha mutisii;25;https://www.gbif.org/species/3056616;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
7;Acalypha schultesii;3;https://www.gbif.org/species/3057068;NA;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Acalypha
8;Acanthocladus colombianus;3;https://www.gbif.org/species/7434040;NA;Plantae;Tracheophyta;Magnoliopsida;Fabales;Polygalaceae;Acanthocladus
9;Acaulimalva purpurea;44;https://www.gbif.org/species/3934980;NA;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;Acaulimalva
10;Acestrocephalus anomalus;45;https://www.gbif.org/species/2353364;https://catalogo.biodiversidad.co/file/5917874bf827bf0c0ced6257/summary;Animalia;Chordata;NA;Characiformes;Characidae;Acestrocephalus
11;Achyrocline hirta;1;https://www.gbif.org/species/3139560;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achyrocline
12;Achyrocline virescens;2;https://www.gbif.org/species/3139566;NA;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;Achyrocline
