Year;RLI
2000;0.553439153439153
2002;0.57037037037037
2003;0.570526315789474
2004;0.556613756613757
2005;0.566137566137566
2006;0.568253968253968
2007;0.564021164021164
2008;0.53945945945946
2009;0.564021164021164
2010;0.560846560846561
2011;0.55978835978836
2012;0.551322751322751
2013;0.568253968253968
2014;0.561904761904762
2015;0.563157894736842
2016;0.545454545454545
2017;0.55978835978836
2018;0.558730158730159
2019;0.575531914893617
2020;0.653333333333333
2021;0.571428571428571
2022;0.565079365079365
2023;0.571428571428571
2024;0.580952380952381
2025;0.573544973544974
